item_id,name,title,category,unit,value_kind,status,source_ref
485,fn485,col485,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
486,fn486,col486,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
487,fn487,col487,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
488,fn488,col488,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
489,fn489,col489,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
490,fn490,col490,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
491,fn491,col491,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
492,fn492,col492,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
493,fn493,col493,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
494,fn494,col494,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
495,fn495,col495,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
496,fn496,col496,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
497,fn497,col497,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
498,fn498,col498,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
499,fn499,col499,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
500,fn500,col500,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
501,fn501,稀释每股收益(元),extended_statement,per_share,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
502,fn502,营业总收入(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
503,fn503,汇兑收益(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
504,fn504,其中:归属于母公司综合收益(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
505,fn505,其中:归属于少数股东综合收益(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
506,fn506,利息收入(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
507,fn507,已赚保费(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
508,fn508,手续费及佣金收入(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
509,fn509,利息支出(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
510,fn510,手续费及佣金支出(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
511,fn511,退保金(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
512,fn512,赔付支出净额(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
513,fn513,提取保险合同准备金净额(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
514,fn514,保单红利支出(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
515,fn515,分保费用(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
516,fn516,其中:非流动资产处置利得(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
517,fn517,信用减值损失(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
518,fn518,净敞口套期收益(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
519,fn519,营业总成本(万元),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
520,fn520,信用减值损失(万元、2019格式),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
521,fn521,资产减值损失(万元、2019格式),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
522,fn522,其他业务收入(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
523,fn523,业务及管理费(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
524,fn524,其他业务成本(万元)  [注：金融类科目],extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
525,fn525,col525,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
526,fn526,col526,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
527,fn527,col527,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
528,fn528,col528,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
529,fn529,col529,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
530,fn530,col530,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
531,fn531,col531,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
532,fn532,col532,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
533,fn533,col533,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
534,fn534,col534,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
535,fn535,col535,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
536,fn536,col536,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
537,fn537,col537,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
538,fn538,col538,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
539,fn539,col539,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
540,fn540,col540,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
541,fn541,col541,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
542,fn542,col542,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
543,fn543,col543,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
544,fn544,col544,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
545,fn545,col545,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
546,fn546,col546,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
547,fn547,col547,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
548,fn548,col548,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
549,fn549,col549,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
550,fn550,col550,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
551,fn551,col551,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
552,fn552,col552,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
553,fn553,col553,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
554,fn554,col554,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
555,fn555,col555,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
556,fn556,col556,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
557,fn557,col557,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
558,fn558,col558,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
559,fn559,col559,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
560,fn560,col560,extended_statement,raw,float64,placeholder,mootdx.financial.columns;TdxQuant.get_financial_data
561,fn561,加:其他原因对现金的影响2(万元)(现金的期末余额科目),extended_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
